Freq.	V(vout)
1.00000000000000e+000	9.99960523140879e-001 -6.28293726675839e-003
1.02329299228075e+000	9.99958662730735e-001 -6.42927371443295e-003
1.04712854805090e+000	9.99956714649581e-001 -6.57901792041848e-003
1.07151930523761e+000	9.99954674766327e-001 -6.73224920042884e-003
1.09647819614318e+000	9.99952538755256e-001 -6.88904871330380e-003
1.12201845430196e+000	9.99950302086866e-001 -7.04949950362817e-003
1.14815362149688e+000	9.99947960018266e-001 -7.21368654532136e-003
1.17489755493953e+000	9.99945507583133e-001 -7.38169678621823e-003
1.20226443461741e+000	9.99942939581186e-001 -7.55361919366278e-003
1.23026877081238e+000	9.99940250567173e-001 -7.72954480113628e-003
1.25892541179417e+000	9.99937434839334e-001 -7.90956675594210e-003
1.28824955169313e+000	9.99934486427327e-001 -8.09378036796964e-003
1.31825673855641e+000	9.99931399079579e-001 -8.28228315956035e-003
1.34896288259165e+000	9.99928166250047e-001 -8.47517491649895e-003
1.38038426460288e+000	9.99924781084358e-001 -8.67255774015366e-003
1.41253754462275e+000	9.99921236405292e-001 -8.87453610078922e-003
1.44543977074593e+000	9.99917524697583e-001 -9.08121689207723e-003
1.47910838816821e+000	9.99913638092014e-001 -9.29270948682838e-003
1.51356124843621e+000	9.99909568348751e-001 -9.50912579397173e-003
1.54881661891248e+000	9.99905306839904e-001 -9.73058031680632e-003
1.58489319246111e+000	9.99900844531264e-001 -9.95719021255091e-003
1.62181009735893e+000	9.99896171963185e-001 -1.01890753532179e-002
1.65958690743756e+000	9.99891279230563e-001 -1.04263583878378e-002
1.69824365246174e+000	9.99886155961876e-001 -1.06691648060606e-002
1.73780082874937e+000	9.99880791297246e-001 -1.09176230031615e-002
1.77827941003892e+000	9.99875173865460e-001 -1.11718643464777e-002
1.81970085860998e+000	9.99869291759921e-001 -1.14320232433041e-002
1.86208713666287e+000	9.99863132513463e-001 -1.16982372102747e-002
1.90546071796325e+000	9.99856683071994e-001 -1.19706469442590e-002
1.94984459975804e+000	9.99849929766888e-001 -1.22493963947998e-002
1.99526231496888e+000	9.99842858286095e-001 -1.25346328381214e-002
2.04173794466953e+000	9.99835453643888e-001 -1.28265069527366e-002
2.08929613085404e+000	9.99827700149194e-001 -1.31251728966801e-002
2.13796208950223e+000	9.99819581372439e-001 -1.34307883863968e-002
2.18776162394955e+000	9.99811080110841e-001 -1.37435147773141e-002
2.23872113856834e+000	9.99802178352076e-001 -1.40635171461253e-002
2.29086765276777e+000	9.99792857236238e-001 -1.43909643748124e-002
2.34422881531992e+000	9.99783097016023e-001 -1.47260292364372e-002
2.39883291901949e+000	9.99772877015045e-001 -1.50688884827269e-002
2.45470891568503e+000	9.99762175584202e-001 -1.54197229334825e-002
2.51188643150958e+000	9.99750970056001e-001 -1.57787175678371e-002
2.57039578276886e+000	9.99739236696747e-001 -1.61460616173896e-002
2.63026799189538e+000	9.99726950656491e-001 -1.65219486612404e-002
2.69153480392691e+000	9.99714085916648e-001 -1.69065767229548e-002
2.75422870333816e+000	9.99700615235157e-001 -1.73001483694772e-002
2.81838293126445e+000	9.99686510089089e-001 -1.77028708120212e-002
2.88403150312660e+000	9.99671740614569e-001 -1.81149560089575e-002
2.95120922666638e+000	9.99656275543901e-001 -1.85366207707208e-002
3.01995172040201e+000	9.99640082139749e-001 -1.89680868667564e-002
3.09029543251359e+000	9.99623126126266e-001 -1.94095811345256e-002
3.16227766016837e+000	9.99605371616997e-001 -1.98613355905859e-002
3.23593656929628e+000	9.99586781039442e-001 -2.03235875437625e-002
3.31131121482591e+000	9.99567315056087e-001 -2.07965797104243e-002
3.38844156139202e+000	9.99546932481785e-001 -2.12805603318748e-002
3.46736850452531e+000	9.99525590197277e-001 -2.17757832938687e-002
3.54813389233575e+000	9.99503243058708e-001 -2.22825082482574e-002
3.63078054770101e+000	9.99479843802933e-001 -2.28010007367702e-002
3.71535229097172e+000	9.99455342948440e-001 -2.33315323169281e-002
3.80189396320560e+000	9.99429688691676e-001 -2.38743806900889e-002
3.89045144994280e+000	9.99402826798566e-001 -2.44298298316152e-002
3.98107170553496e+000	9.99374700491018e-001 -2.49981701231551e-002
4.07380277804112e+000	9.99345250328181e-001 -2.55796984870177e-002
4.16869383470335e+000	9.99314414082211e-001 -2.61747185226246e-002
4.26579518801592e+000	9.99282126608311e-001 -2.67835406450101e-002
4.36515832240165e+000	9.99248319708772e-001 -2.74064822253374e-002
4.46683592150962e+000	9.99212921990759e-001 -2.80438677333937e-002
