Freq.	V(n002)
1.00000000000000e+000	9.98460248802205e-001 -3.92094422817305e-002
1.02329299228075e+000	9.98387799555214e-001 -4.01198361725388e-002
1.04712854805090e+000	9.98311947148465e-001 -4.10512281071539e-002
1.07151930523761e+000	9.98232532280282e-001 -4.20040923908403e-002
1.09647819614318e+000	9.98149388245529e-001 -4.29789133250856e-002
1.12201845430196e+000	9.98062340596687e-001 -4.39761853660548e-002
1.14815362149688e+000	9.97971206789910e-001 -4.49964132815158e-002
1.17489755493953e+000	9.97875795815448e-001 -4.60401123058415e-002
1.20226443461741e+000	9.97775907811801e-001 -4.71078082926551e-002
1.23026877081238e+000	9.97671333662936e-001 -4.82000378646562e-002
1.25892541179417e+000	9.97561854577900e-001 -4.93173485601194e-002
1.28824955169313e+000	9.97447241652118e-001 -5.04602989755227e-002
1.31825673855641e+000	9.97327255409665e-001 -5.16294589037142e-002
1.34896288259165e+000	9.97201645325763e-001 -5.28254094669822e-002
1.38038426460288e+000	9.97070149328751e-001 -5.40487432443413e-002
1.41253754462275e+000	9.96932493280735e-001 -5.53000643922947e-002
1.44543977074593e+000	9.96788390436122e-001 -5.65799887582772e-002
1.47910838816821e+000	9.96637540877225e-001 -5.78891439859206e-002
1.51356124843621e+000	9.96479630926088e-001 -5.92281696112202e-002
1.54881661891248e+000	9.96314332531690e-001 -6.05977171486120e-002
1.58489319246111e+000	9.96141302631646e-001 -6.19984501658968e-002
1.62181009735893e+000	9.95960182487531e-001 -6.34310443468710e-002
1.65958690743756e+000	9.95770596992920e-001 -6.48961875404393e-002
1.69824365246174e+000	9.95572153953245e-001 -6.63945797948979e-002
1.73780082874937e+000	9.95364443336554e-001 -6.79269333759860e-002
1.77827941003892e+000	9.95147036494243e-001 -6.94939727672006e-002
1.81970085860998e+000	9.94919485350849e-001 -7.10964346507680e-002
1.86208713666287e+000	9.94681321561975e-001 -7.27350678675564e-002
1.90546071796325e+000	9.94432055639440e-001 -7.44106333540924e-002
1.94984459975804e+000	9.94171176042742e-001 -7.61239040547258e-002
1.99526231496888e+000	9.93898148235940e-001 -7.78756648068534e-002
2.04173794466953e+000	9.93612413709100e-001 -7.96667121969779e-002
2.08929613085404e+000	9.93313388963450e-001 -8.14978543852296e-002
2.13796208950223e+000	9.93000464459438e-001 -8.33699108958312e-002
2.18776162394955e+000	9.92673003526935e-001 -8.52837123708206e-002
2.23872113856834e+000	9.92330341236862e-001 -8.72401002841843e-002
2.29086765276777e+000	9.91971783233591e-001 -8.92399266133726e-002
2.34422881531992e+000	9.91596604527535e-001 -9.12840534649882e-002
2.39883291901949e+000	9.91204048247433e-001 -9.33733526512443e-002
2.45470891568503e+000	9.90793324351935e-001 -9.55087052135892e-002
2.51188643150958e+000	9.90363608300179e-001 -9.76910008896845e-002
2.57039578276886e+000	9.89914039681215e-001 -9.99211375197091e-002
