Freq.	V(vout)
1.00000000000000e+001	9.69251880652666e-001 -1.83423803415171e-001
1.02329299228075e+001	9.67842819430647e-001 -1.87458442993579e-001
1.04712854805090e+001	9.66371104086012e-001 -1.91570697026520e-001
1.07151930523761e+001	9.64834127892272e-001 -1.95761279079042e-001
1.09647819614319e+001	9.63229192386902e-001 -2.00030849878254e-001
1.12201845430196e+001	9.61553505732015e-001 -2.04380012110003e-001
1.14815362149688e+001	9.59804181213281e-001 -2.08809304918639e-001
1.17489755493953e+001	9.57978235898597e-001 -2.13319198101531e-001
1.20226443461741e+001	9.56072589479849e-001 -2.17910085990715e-001
1.23026877081238e+001	9.54084063322824e-001 -2.22582281014975e-001
1.25892541179417e+001	9.52009379752252e-001 -2.27336006936720e-001
1.28824955169313e+001	9.49845161600860e-001 -2.32171391759291e-001
1.31825673855641e+001	9.47587932053289e-001 -2.37088460301825e-001
1.34896288259165e+001	9.45234114817692e-001 -2.42087126440521e-001
1.38038426460288e+001	9.42780034659855e-001 -2.47167185017106e-001
1.41253754462275e+001	9.40221918336654e-001 -2.52328303417557e-001
1.44543977074593e+001	9.37555895967640e-001 -2.57570012826668e-001
1.47910838816821e+001	9.34778002885427e-001 -2.62891699166857e-001
1.51356124843621e+001	9.31884182007402e-001 -2.68292593732811e-001
1.54881661891248e+001	9.28870286772963e-001 -2.73771763537060e-001
1.58489319246111e+001	9.25732084692036e-001 -2.79328101385419e-001
1.62181009735893e+001	9.22465261551994e-001 -2.84960315705507e-001
1.65958690743756e+001	9.19065426331167e-001 -2.90666920156137e-001
1.69824365246174e+001	9.15528116867975e-001 -2.96446223050384e-001
1.73780082874937e+001	9.11848806335158e-001 -3.02296316630538e-001
1.77827941003892e+001	9.08022910568620e-001 -3.08215066238878e-001
1.81970085860998e+001	9.04045796299992e-001 -3.14200099434401e-001
1.86208713666287e+001	8.99912790341029e-001 -3.20248795112080e-001
1.90546071796325e+001	8.95619189766373e-001 -3.26358272688066e-001
1.94984459975804e+001	8.91160273138944e-001 -3.32525381421364e-001
1.99526231496888e+001	8.86531312819176e-001 -3.38746689949850e-001
2.04173794466953e+001	8.81727588395429e-001 -3.45018476126030e-001
2.08929613085404e+001	8.76744401268097e-001 -3.51336717245585e-001
2.13796208950223e+001	8.71577090414166e-001 -3.57697080769429e-001
2.18776162394955e+001	8.66221049352106e-001 -3.64094915647585e-001
2.23872113856834e+001	8.60671744318997e-001 -3.70525244360586e-001
2.29086765276777e+001	8.54924733662675e-001 -3.76982755801210e-001
2.34422881531992e+001	8.48975688441277e-001 -3.83461799125947e-001
2.39883291901949e+001	8.42820414210985e-001 -3.89956378711593e-001
