Sample-#, CA-V, CA-I, CB-V, CB-I 
0, 0.00663767475635, 0.00062323565362, 0.370412766933, 0.00130989169702
1, 0.00839246250689, 0.0006690127193, 0.365606158972, 0.00125648512039
2, 0.0102998400107, 0.000653753697407, 0.361104756594, 0.00127174414229
3, 0.0135805299506, 0.000691901252139, 0.356679648161, 0.00114204245619
4, 0.0159456785768, 0.000653753697407, 0.352559715509, 0.00122596707661
5, 0.0180056467652, 0.000539311033208, 0.348439753056, 0.00120307854377
6, 0.0204470902681, 0.000554570055101, 0.344396114349, 0.00131752120797
7, 0.0218204017729, 0.000676642230246, 0.340657651424, 0.00108100636862
8, 0.0255588609725, 0.000684271741193, 0.336690306664, 0.00127174414229
9, 0.0282291900367, 0.00060034712078, 0.333333343267, 0.00126411463134
10, 0.0299839787185, 0.000653753697407, 0.329900056124, 0.00124885560945
11, 0.032578010112, 0.000760566850659, 0.326390475035, 0.00125648512039
12, 0.0345616862178, 0.00060034712078, 0.323033481836, 0.00130989169702
13, 0.0375371947885, 0.000592717609834, 0.320057988167, 0.00121833756566
14, 0.040131226182, 0.000630865164567, 0.31715875864, 0.00121070805471
15, 0.0424200817943, 0.000676642230246, 0.314183264971, 0.00121070805471
16, 0.0445563457906, 0.0006690127193, 0.310902565718, 0.00125648512039
17, 0.0478370338678, 0.00064612418646, 0.308155953884, 0.00124885560945
18, 0.0496681146324, 0.000615606142674, 0.305790811777, 0.00123359658755
19, 0.0515754930675, 0.00064612418646, 0.303044170141, 0.00126411463134
20, 0.0545510016382, 0.000722419295926, 0.300602734089, 0.00121070805471
21, 0.0565346777439, 0.0006690127193, 0.298085004091, 0.00121070805471
22, 0.0602731369436, 0.000546940544154, 0.295796126127, 0.00121070805471
23, 0.0618753321469, 0.000577458587941, 0.293507277966, 0.00124885560945
24, 0.0638590082526, 0.00060034712078, 0.291218429804, 0.00120307854377
25, 0.0666056275368, 0.000546940544154, 0.288700699806, 0.00123359658755
26, 0.0688944831491, 0.000539311033208, 0.286717027426, 0.00129463267513
27, 0.0720225870609, 0.000524052011315, 0.284885942936, 0.00125648512039
28, 0.0740825533867, 0.000562199566048, 0.28282597661, 0.00122596707661
29, 0.0763714015484, 0.0006690127193, 0.280918598175, 0.00134040974081
30, 0.0790417343378, 0.00060034712078, 0.279240101576, 0.00121833756566
31, 0.0814068838954, 0.000516422500368, 0.277485311031, 0.00118781952187
32, 0.0834668502212, 0.000592717609834, 0.275730520487, 0.00121833756566
33, 0.0865186527371, 0.000508792989422, 0.273899435997, 0.00115730147809
34, 0.0890363901854, 0.000569829076994, 0.272220939398, 0.00125648512039
35, 0.0910963639617, 0.000630865164567, 0.270847648382, 0.00121070805471
36, 0.0935378074646, 0.00060034712078, 0.26955062151, 0.0012412260985
37, 0.0951400026679, 0.000562199566048, 0.267948418856, 0.00122596707661
38, 0.0984969884157, 0.000699530763086, 0.266575098038, 0.00123359658755
39, 0.101319909096, 0.000684271741193, 0.265125513077, 0.00126411463134
40, 0.103379875422, 0.000638494675513, 0.263981074095, 0.00133278022986
41, 0.105745024979, 0.000592717609834, 0.26291295886, 0.00118781952187
42, 0.107423514128, 0.000531681522261, 0.261463344097, 0.00119544903282
43, 0.110856793821, 0.000554570055101, 0.26024261117, 0.00114204245619
44, 0.113145649433, 0.000607976631727, 0.25909820199, 0.0012412260985
45, 0.115663386881, 0.000554570055101, 0.258182644844, 0.00121070805471
46, 0.117952242494, 0.000585088098887, 0.256885647774, 0.00129463267513
47, 0.120698861778, 0.000577458587941, 0.255817502737, 0.00108100636862
48, 0.122911423445, 0.000615606142674, 0.254978269339, 0.00125648512039
49, 0.124742500484, 0.000569829076994, 0.253910124302, 0.00121070805471
50, 0.127565428615, 0.000554570055101, 0.252841979265, 0.00127937365323
51, 0.129854276776, 0.00064612418646, 0.252155333757, 0.00121833756566
52, 0.133287549019, 0.000615606142674, 0.251163512468, 0.00128700316418
53, 0.135118633509, 0.00062323565362, 0.250247955322, 0.00124885560945
54, 0.137331202626, 0.000737678317819, 0.249332413077, 0.00132515071891
55, 0.139848932624, 0.00064612418646, 0.248493164778, 0.00114967196714
56, 0.14190889895, 0.000562199566048, 0.247653931379, 0.0013556687627
57, 0.145571067929, 0.000615606142674, 0.246662095189, 0.00127937365323
58, 0.147249564528, 0.000653753697407, 0.246051728725, 0.0012412260985
59, 0.1493858248, 0.000630865164567, 0.245517656207, 0.00129463267513
60, 0.151979863644, 0.000508792989422, 0.244907304645, 0.00117256049998
61, 0.154650181532, 0.000577458587941, 0.2439917624, 0.00130989169702
62, 0.157091632485, 0.000630865164567, 0.243381395936, 0.00122596707661
63, 0.159609362483, 0.000554570055101, 0.242847338319, 0.00120307854377
64, 0.162127107382, 0.000661383208353, 0.242389559746, 0.00126411463134
65, 0.164339661598, 0.000638494675513, 0.241779208183, 0.00129463267513
66, 0.166628524661, 0.000615606142674, 0.240863665938, 0.00121833756566
67, 0.168230712414, 0.000638494675513, 0.240253299475, 0.00119544903282
68, 0.171969175339, 0.000577458587941, 0.239871829748, 0.00121833756566
69, 0.174486920238, 0.000592717609834, 0.239414051175, 0.00121070805471
70, 0.176394298673, 0.000661383208353, 0.23834592104, 0.00127937365323
71, 0.178835734725, 0.000615606142674, 0.238040745258, 0.0012412260985
72, 0.18059052527, 0.000539311033208, 0.23750667274, 0.00122596707661
73, 0.184176400304, 0.000569829076994, 0.237048909068, 0.00126411463134
74, 0.186541542411, 0.000569829076994, 0.23666742444, 0.00127937365323
75, 0.188754096627, 0.000569829076994, 0.236285954714, 0.00120307854377
76, 0.191271841526, 0.00062323565362, 0.235828176141, 0.00119544903282
77, 0.193560689688, 0.000508792989422, 0.235065236688, 0.00126411463134
78, 0.195925846696, 0.000577458587941, 0.234531164169, 0.00116493098903
79, 0.198290988803, 0.000585088098887, 0.234302282333, 0.00121833756566
